Samples    property    nMgO    O_coord    HL_gap    av_d    av_O_Mc    ratio_Mg_Si_cluster    Q_1    Q_2    Q_3    Q_4    Q_5    Q_6
CO-MgO_14_SiO2_7_Andreas_3-site2    0.385    14    4    3.057    2.046    -0.642    2.0    0.202    0.362    0.52    0.575    0.438    0.557
CO-MgO_14_SiO2_7_Andreas_3-site24    0.489    14    3    3.057    1.964    -0.707    2.0    0.304    0.563    0.539    0.626    0.608    0.54
CO-MgO_14_SiO2_7_Andreas_3-site27    0.443    14    4    3.057    2.009    -0.776    2.0    0.321    0.333    0.417    0.638    0.506    0.487
CO-MgO_14_SiO2_7_Andreas_3-site28    0.453    14    4    3.057    2.054    -0.691    2.0    0.19    0.492    0.332    0.549    0.642    0.43
CO-MgO_14_SiO2_7_Andreas_3-site32    0.47    14    4    3.057    2.009    -0.831    2.0    0.307    0.317    0.415    0.694    0.415    0.488
CO-MgO_14_SiO2_7_Andreas_3-site36    0.582    14    4    3.057    2.031    -0.659    2.0    0.384    0.28    0.422    0.585    0.626    0.389
CO-MgO_14_SiO2_7_Andreas_3-site37    0.415    14    4    3.057    2.032    -0.721    2.0    0.26    0.345    0.492    0.557    0.59    0.355
CO-MgO_14_SiO2_7_Andreas_3-site43    0.516    14    3    3.057    1.968    -0.672    2.0    0.217    0.611    0.567    0.474    0.761    0.449
CO-MgO_14_SiO2_7_Andreas_3-site44    0.355    14    4    3.057    1.982    -0.735    2.0    0.194    0.275    0.551    0.663    0.329    0.428
CO-MgO_14_SiO2_7_Andreas_3-site45    0.538    14    4    3.057    2.027    -0.693    2.0    0.376    0.272    0.38    0.69    0.493    0.426
CO-MgO_14_SiO2_7_Andreas_3-site47    0.402    14    4    3.057    2.024    -0.707    2.0    0.198    0.361    0.527    0.528    0.569    0.442
CO-MgO_14_SiO2_7_Andreas_3-site9    0.412    14    3    3.057    1.972    -0.679    2.0    0.157    0.571    0.634    0.532    0.659    0.476
CO-MgO_14_SiO2_7_Escatllar-site13    0.442    14    4    3.452    2.048    -0.706    2.0    0.171    0.42    0.474    0.544    0.571    0.396
CO-MgO_14_SiO2_7_Escatllar-site14    0.512    14    3    3.452    1.96    -0.675    2.0    0.295    0.554    0.585    0.551    0.664    0.536
CO-MgO_14_SiO2_7_Escatllar-site20    0.528    14    4    3.452    2.048    -0.659    2.0    0.367    0.301    0.39    0.664    0.48    0.491
CO-MgO_14_SiO2_7_Escatllar-site25    0.334    14    4    3.452    2.021    -0.696    2.0    0.2    0.263    0.615    0.521    0.476    0.476
CO-MgO_14_SiO2_7_Escatllar-site26    0.429    14    4    3.452    2.002    -0.84    2.0    0.336    0.274    0.378    0.76    0.324    0.48
CO-MgO_14_SiO2_7_Escatllar-site3    0.593    14    3    3.452    1.937    -0.675    2.0    0.327    0.382    0.747    0.564    0.47    0.634
CO-MgO_14_SiO2_7_Escatllar-site31    0.389    14    3    3.452    1.983    -0.806    2.0    0.151    0.522    0.698    0.557    0.524    0.551
CO-MgO_14_SiO2_7_Escatllar-site36    0.452    14    3    3.452    2.003    -0.685    2.0    0.227    0.562    0.532    0.754    0.383    0.542
CO-MgO_14_SiO2_7_Escatllar-site37    0.37    14    4    3.452    1.998    -0.738    2.0    0.238    0.239    0.59    0.57    0.462    0.431
CO-MgO_14_SiO2_7_Escatllar-site41    0.539    14    3    3.452    1.962    -0.658    2.0    0.311    0.536    0.61    0.518    0.678    0.553
CO-MgO_14_SiO2_7_Escatllar-site45    0.456    14    3    3.452    2.008    -0.656    2.0    0.275    0.615    0.432    0.72    0.461    0.689
CO-MgO_14_SiO2_7_Escatllar-site6    0.478    14    4    3.452    2.085    -0.836    2.0    0.349    0.304    0.439    0.617    0.519    0.454
CO-MgO_14_SiO2_7_Escatllar-site7    0.383    14    4    3.452    2.024    -0.787    2.0    0.34    0.242    0.413    0.738    0.403    0.375
CO-MgO_16_SiO2_8_Andreas_0-site1    0.586    16    4    3.688    2.073    -0.704    2.0    0.175    0.436    0.378    0.663    0.484    0.395
